teks_tweet,lokasi,created_at,username,lang
"Dukung Bersama Program Makan Bergizi Gratis 
#ManfaatMakanBergiziGratis
#MakanBergiziGratis https://t.co/wlHMNrdHGI",,2026-05-14T15:08:50.000Z,Perjuangan52435,in
"Dukung Bersama Program Makan Bergizi Gratis 
#ManfaatMakanBergiziGratis
#MakanBergiziGratis https://t.co/wQOKjDkPwx",,2026-05-14T15:08:41.000Z,Perjuangan52435,in
"BBC melakukan pekerjaan yg kocak, melihat kembali pidato prabowo dan melist kata2 apa saja yg sering muncul :

1. Rakyat 643 kali
2. Makan Bergizi Gratis 146 kali
3. Kemiskinan 58 kali
4. Kekuatan asing 25 kali
5.
6.

Kira2 kurang apa lagi +62,
Perasaan kata2 antek2 asing sering https://t.co/De9S9dFWqa",,2026-05-13T04:08:54.000Z,Hidupsebagai62,in
"Dukung Bersama Program Makan Bergizi Gratis 
#ManfaatMakanBergiziGratis
#MakanBergiziGratis https://t.co/4RXfDA8Mpn",,2026-05-16T00:15:24.000Z,Perjuangan52435,in
"program Makan Bergizi Gratis dengan aksi nyata di sekolah-sekolah dan pesantren. Langkah ini bukan sekadar pangan, tapi fondasi untuk Maksimalkan Kemajuan Indonesia.
#PenuhiGiziBangsa https://t.co/GUXV1TkXSg",,2026-05-16T04:43:02.000Z,ekamawar05,in
"Lucunya Negeri +62,

1. PAM = Perusahaan Air Minum... airnya gak bisa diminum
2. MBG = Makan Bergizi Gratis... gak bergizi dan gak gratis
3. IKN = Ibu Kota Negara... statusnya bukan ibukota negara
4. KPK = Komisi Pemberantasan Korupsi... korupsinya malah makin merajalela
5. DPR =",,2026-05-15T12:10:35.000Z,Hidupsebagai62,in
"Investor Asing Ramai Keluar dari Pasar Modal RI, Kekhawatiran Utama: Program Makan Bergizi Gratis (MBG)Pasar khawatir anggaran masif MBG akan membengkakkan defisit APBN, menekan disiplin fiskal, serta meningkatkan suplai obligasi yang berpotensi menaikkan yield dan melemahkan https://t.co/X6DVkk9dbI",,2026-05-15T00:01:00.000Z,P3gEl,in
"BREAKING : Bocah SMP Lawan Raksasa MBG!

Sambil menggendong boneka putih, siswi ini berdiri tegak dan lantang menyuarakan borok program Makan Bergizi Gratis (MBG) langsung di depan Istana Negara pada Aksi Kamisan ke-816. Saat banyak yang memilih diam, dia justru bicara jujur soal https://t.co/lBNej7AB6g",,2026-05-09T19:16:21.000Z,KWijono,in
"Dukung Bersama Program Makan Bergizi Gratis 
#ManfaatMakanBergiziGratis
#MakanBergiziGratis https://t.co/25ajz4lVgH",,2026-05-16T00:15:06.000Z,Perjuangan52435,in
Hasil Bahtsul Masail menegaskan keuntungan finansial dari jasa penyedia makanan tidak terlepas dari zakat mal. https://t.co/ltpAWtZWKW https://t.co/xl5vjGanv8,,2026-05-16T03:47:17.000Z,nu_online,in
